Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Crowdfunder,https://angel.co/company/crowdfunder-1,5,Jul '14,Los Angeles,Small and Medium Businesses,http://www.crowdfunder.com,11-50,Series A,6000000
Homer Logistics,https://angel.co/company/homer-logistics,5,Sep '14,New York City,B2B Express Delivery,http://www.homerlogistics.com,11-50,Series A,14500000
Next Thing Co.,https://angel.co/company/next-thing-co,5,May '14,Oakland,Consumer Electronics,http://www.nextthing.co,1-10,Seed,50000
Scaled Inference,https://angel.co/company/scaled-inference,5,May '14,Palo Alto,Artificial Intelligence,http://scaledinference.com/,11-50,Series A,13600000
Vouch Financial,https://angel.co/company/vouch-financial,5,Jun '14,San Francisco,Financial Services,https://vouch.com,11-50,"",9000000
Sworkit,https://angel.co/company/sworkit,5,May '14,"",Fitness,https://sworkit.com,1-10,Seed,1838000
initial Capital,https://angel.co/company/initial-capital,5,May '14,London,Social Games,http://www.initialcapital.com/,1-10,"",""
Opticlose,https://angel.co/company/opticlose,5,Jun '14,New York City,Small and Medium Businesses,http://www.opticlose.com,1-10,"",""
Uguru,https://angel.co/company/u-guru,5,May '14,San Francisco,University Students,http://Uguru.me,1-10,"",""
Priime,https://angel.co/company/priime,5,Feb '18,San Francisco,Photography,http://priime.com,1-10,"",""
Puzzle Piece,https://angel.co/company/puzzle-piece,5,Jun '14,Southern California,"Behavioral Therapy, Aba Therapy, Autism, Psychology",http://getpuzzlepiece.com,1-10,"",""
